,Simple Random,Systematic,Bernoulli,Stratified
169,"REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]"
175,"REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]"
181,"REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]"
187,"REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]"
193,"REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]"
199,"REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]"
206,"REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]"
212,"REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]"
218,"REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]"
224,"REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]"
230,"REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]"
236,"REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]"
242,"REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]"
249,"REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]","REACHED. F1 mean: 100.0. F1 CI [100.0, 100.0]"
